origin-time-utc,mag,mag-type,latitude,longitude,depth(km),region,a/m,time-updated,kml
07/02/2023 9:53,3.9,MLv,38.1400° N,36.4389° E,0,Goksun-Kahramanmaras,A,07/02/2023 10:10,Stations Event
07/02/2023 9:40,3.4,MLv,38.2284° N,38.0632° E,5,Yesilyurt-Malatya,A,07/02/2023 9:43,Stations Event
07/02/2023 9:15,3.5,MLv,38.0576° N,36.5213° E,0,Goksun-Kahramanmaras,A,07/02/2023 9:19,Stations Event
07/02/2023 8:43,3.6,MLv,38.0191° N,36.6238° E,0,Goksun-Kahramanmaras,A,07/02/2023 8:46,Stations Event
07/02/2023 8:31,4.1,MLv,38.2416° N,38.6151° E,8,Puturge-Malatya,A,07/02/2023 8:36,Stations Event
07/02/2023 8:25,4.5,MLv,38.0081° N,37.5870° E,0,Nurhak-Kahramanmaras,A,07/02/2023 8:30,Stations Event
07/02/2023 8:18,3.9,MLv,38.2154° N,38.6147° E,5,Puturge-Malatya,M,07/02/2023 10:24,Stations Event
07/02/2023 8:16,3.6,MLv,38.2919° N,38.0614° E,8,Akcadag-Malatya,M,07/02/2023 10:19,Stations Event
07/02/2023 8:11,3.4,MLv,38.0576° N,36.5414° E,0,Goksun-Kahramanmaras,A,07/02/2023 8:14,Stations Event
07/02/2023 7:54,4.2,MLv,36.6449° N,36.3300° E,0,iskenderun-Hatay,A,07/02/2023 7:58,Stations Event
07/02/2023 7:45,4,MLv,36.9095° N,36.5451° E,0,islahiye-Gaziantep,A,07/02/2023 7:49,Stations Event
07/02/2023 7:37,3,MLv,38.1387° N,36.6345° E,5,Goksun-Kahramanmaras,M,07/02/2023 7:58,Stations Event
07/02/2023 7:26,4.6,MLv,38.1052° N,37.6712° E,0,Elbistan-Kahramanmaras,A,07/02/2023 7:30,Stations Event
07/02/2023 7:11,5.3,mb,38.1931° N,38.6467° E,10,Puturge-Malatya,M,07/02/2023 7:54,Stations Event
07/02/2023 6:48,4.9,MLv,38.2846° N,37.7097° E,0,Akcadag-Malatya,A,07/02/2023 7:07,Stations Event
07/02/2023 6:45,5.3,mb,49.1585° N,155.9501° E,10,Kuril Islands,A,07/02/2023 7:27,Stations Event
07/02/2023 6:40,4.5,MLv,38.0475° N,36.3885° E,0,Goksun-Kahramanmaras,A,07/02/2023 6:58,Stations Event
07/02/2023 6:36,3.6,MLv,37.9761° N,37.6889° E,13,Dogansehir-Malatya,M,07/02/2023 7:09,Stations Event
07/02/2023 6:26,3.9,MLv,37.3297° N,36.8793° E,2,Turkoglu-Kahramanmaras,A,07/02/2023 6:30,Stations Event
07/02/2023 6:15,4.3,MLv,38.1976° N,38.1207° E,0,Yesilyurt-Malatya,A,07/02/2023 6:19,Stations Event
07/02/2023 6:13,4.2,MLv,38.0200° N,37.5952° E,2,Nurhak-Kahramanmaras,A,07/02/2023 6:19,Stations Event
07/02/2023 5:55,4,MLv,38.1070° N,37.3874° E,0,Nurhak-Kahramanmaras,A,07/02/2023 5:59,Stations Event
07/02/2023 5:53,3.5,MLv,38.2242° N,37.9587° E,0,Dogansehir-Malatya,A,07/02/2023 5:57,Stations Event
07/02/2023 5:26,4.8,MLv,36.3862° N,36.1351° E,5,Belen-Hatay,A,07/02/2023 5:59,Stations Event
07/02/2023 5:20,3.9,MLv,38.1585° N,38.5093° E,6,Merkez-Malatya,A,07/02/2023 5:24,Stations Event
07/02/2023 4:50,3.5,MLv,38.1061° N,36.6449° E,5,Goksun-Kahramanmaras,A,07/02/2023 4:54,Stations Event
07/02/2023 4:45,3.3,MLv,38.6038° N,40.7728° E,5,Genc-Bingol,M,07/02/2023 6:18,Stations Event
07/02/2023 4:42,4.6,MLv,36.8884° N,36.4929° E,3,Hassa-Hatay,A,07/02/2023 4:46,Stations Event
07/02/2023 4:20,2.8,MLv,36.5240° N,28.7311° E,0,"Dodecanese Islands,  Greece",A,07/02/2023 4:23,Stations Event
07/02/2023 4:16,4.1,MLv,37.9754° N,37.5458° E,5,Nurhak-Kahramanmaras,M,07/02/2023 7:45,Stations Event
07/02/2023 3:58,4.4,MLv,37.5677° N,37.2528° E,1,Pazarcik-Kahramanmaras,A,07/02/2023 4:16,Stations Event
07/02/2023 3:55,4,MLv,38.0127° N,38.1885° E,32,Celikhan-Adiyaman,A,07/02/2023 3:59,Stations Event
07/02/2023 3:51,3.7,MLv,35.9009° N,35.8602° E,5,Jordan/Syria Region,M,07/02/2023 6:53,Stations Event
07/02/2023 3:36,4.6,MLv,36.2787° N,36.3658° E,15,Merkez-Hatay,A,07/02/2023 3:41,Stations Event
